NUTS3,City,Plaka,M_2020,gdp_pc20,Def_18,Def_19,Def_20,lnM_20,lngdp_pc20,AKP_18,HDP_18,CHP_18,Mosq,growt_pc18,lngdp_pc18,lnM_18
TR100,Istanbul,34,126858302.00,13914.00,208.80,236.32,271.16,18.66,9.54,40.85,12.55,30.44,22.87,3.96,9.70,18.65
TR211,Tekirdag,59,1651160.00,12006.00,224.71,255.36,296.72,14.32,9.39,34.73,6.58,45.67,52.33,5.88,9.40,14.35
TR212,Edirne,22,108731.00,7194.00,209.86,242.31,276.64,11.60,8.88,28.58,3.68,57.00,98.66,2.59,8.97,11.11
TR213,Kirklareli,39,152196.00,9655.00,212.11,241.44,275.08,11.93,9.18,26.88,3.38,55.72,82.86,3.51,9.19,11.92
TR221,Balikesir,10,401905.00,7427.00,211.14,242.29,278.04,12.90,8.91,41.40,4.25,34.64,136.97,3.20,8.98,12.89
TR222,Çanakkale,17,86511.00,9830.00,224.47,255.95,290.79,11.37,9.19,37.37,3.75,39.56,152.96,3.93,9.18,11.35
TR310,Izmir,35,8476251.00,9945.00,218.18,247.14,283.24,15.95,9.20,28.69,11.49,46.76,44.02,5.92,9.35,16.18
TR321,Aydin,9,205615.00,5991.00,206.46,237.60,271.99,12.23,8.70,32.50,9.36,40.81,104.30,1.93,8.83,12.41
TR322,Denizli,20,1459302.00,7693.00,220.01,251.77,288.72,14.19,8.95,40.75,4.03,34.32,118.60,3.73,9.12,14.47
TR323,Mugla,48,281519.00,8228.00,208.76,240.05,273.79,12.55,9.02,28.19,6.73,48.37,113.08,7.04,9.15,12.42
TR331,Manisa,45,2432464.00,8444.00,213.96,245.89,287.89,14.70,9.04,40.15,7.01,29.71,121.99,5.33,9.15,14.83
TR332,Afyonkarahisar,3,83624.00,5958.00,207.12,239.81,274.20,11.33,8.69,55.38,1.25,16.24,163.87,2.55,8.81,11.28
TR333,Kütahya,43,131122.00,6798.00,214.57,247.69,284.78,11.78,8.82,54.82,1.21,12.37,212.31,5.43,8.88,11.56
TR334,Usak,64,180443.00,7455.00,220.24,252.17,290.97,12.10,8.92,43.48,3.07,30.40,153.74,1.52,8.98,12.25
TR411,Bursa,16,7606514.00,9376.00,223.27,253.43,295.08,15.84,9.15,46.18,5.69,26.66,58.41,6.14,9.31,16.00
TR412,Eskisehir,26,779237.00,9260.00,211.49,241.92,280.27,13.57,9.13,38.79,4.27,38.70,90.11,3.97,9.23,13.70
TR413,Bilecik,11,53889.00,10015.00,216.10,245.74,282.63,10.89,9.21,43.31,3.38,33.82,190.65,1.65,9.27,11.69
TR421,Kocaeli,41,9560514.00,13742.00,230.12,258.95,299.20,16.07,9.53,48.29,7.36,23.44,63.52,8.77,9.73,16.49
TR422,Sakarya,54,2915926.00,8195.00,217.96,248.38,287.84,14.89,9.01,58.18,2.70,15.38,131.39,4.63,9.13,14.99
TR423,Düzce,81,134964.00,7439.00,216.79,246.13,283.92,11.81,8.91,56.06,2.07,16.38,176.36,0.02,9.00,11.32
TR424,Bolu,14,164838.00,9296.00,211.99,242.56,279.12,12.01,9.14,52.13,2.08,21.54,404.73,3.16,9.20,12.06
TR425,Yalova,77,649002.00,9565.00,218.51,247.10,288.81,13.38,9.17,44.13,7.97,31.68,63.68,3.23,9.31,13.26
TR510,Ankara,6,11457722.00,12130.00,210.46,238.79,273.65,16.25,9.40,40.43,6.41,30.82,56.36,-0.13,9.45,16.41
TR521,Konya,42,877587.00,7007.00,209.09,240.30,277.22,13.68,8.85,59.41,3.71,9.17,145.27,3.66,8.94,13.63
TR522,Karaman,70,102098.00,7765.00,206.41,240.15,275.14,11.53,8.96,53.52,1.58,15.13,201.66,1.47,9.05,11.40
TR611,Antalya,7,1155561.00,7232.00,207.16,241.05,274.23,13.96,8.89,34.96,7.33,33.32,93.35,10.58,9.22,13.81
TR612,Isparta,32,38084.00,6726.00,209.03,240.97,274.66,10.55,8.81,47.75,2.13,21.38,167.42,0.49,8.91,10.75
TR613,Burdur,15,24419.00,7229.00,204.69,236.69,271.13,10.10,8.89,43.15,1.92,25.01,197.46,-1.15,8.94,10.51
TR621,Adana,1,2127118.00,6270.00,213.98,245.03,279.95,14.57,8.74,34.70,13.52,29.78,65.72,0.86,8.84,14.54
TR622,Mersin,33,2841198.00,7402.00,211.58,242.84,277.37,14.86,8.91,28.64,16.94,30.48,86.47,3.61,8.96,14.65
TR631,Hatay,31,3733336.00,5367.00,247.76,278.40,319.38,15.13,8.59,36.20,11.02,36.12,67.52,5.77,8.79,15.24
TR632,Kahramanmaras,46,982322.00,5599.00,223.73,257.29,294.70,13.80,8.63,58.47,3.85,9.53,116.26,4.75,8.66,13.93
TR633,Osmaniye,80,494677.00,5067.00,250.68,282.68,323.98,13.11,8.53,36.27,3.59,13.57,107.97,6.86,8.74,13.47
TR711,Kirikkale,71,11072.00,6146.00,225.54,254.26,285.68,9.31,8.72,43.69,1.59,13.63,129.45,7.10,8.97,9.39
TR712,Aksaray,68,39703.00,6891.00,209.93,241.12,276.90,10.59,8.84,56.15,1.57,7.37,145.09,3.74,8.81,11.21
TR713,Nigde,51,60877.00,5853.00,207.95,241.93,278.16,11.02,8.67,43.83,1.66,20.40,120.10,3.77,8.74,10.51
TR714,Nevsehir,50,23325.00,5596.00,207.49,241.16,275.32,10.06,8.63,53.14,1.74,15.18,169.27,3.50,8.77,10.78
TR715,Kirsehir,40,252088.00,6092.00,207.25,238.64,274.48,12.44,8.71,41.24,4.70,17.89,206.31,0.39,8.78,12.70
TR721,Kayseri,38,1229581.00,7579.00,222.68,252.50,293.77,14.02,8.93,50.63,2.37,12.23,98.94,2.18,8.99,14.11
TR722,Sivas,58,37476.00,5909.00,210.53,241.47,278.85,10.53,8.68,54.62,2.20,14.77,209.86,0.05,8.79,10.84
TR723,Yozgat,66,20980.00,5046.00,208.59,240.09,273.41,9.95,8.53,53.39,1.33,7.36,232.01,-1.43,8.63,9.99
TR811,Zonguldak,67,1174579.00,6418.00,263.26,294.96,337.95,13.98,8.77,45.97,1.90,36.42,251.29,8.32,8.88,14.12
TR812,Karabük,78,615593.00,6407.00,264.35,293.08,335.19,13.33,8.77,53.81,1.48,15.25,387.88,10.40,8.98,13.51
TR813,Bartin,74,4204.00,5493.00,214.49,242.99,277.21,8.34,8.61,47.03,1.70,30.18,404.52,2.82,8.70,9.46
TR821,Kastamonu,37,149194.00,6979.00,212.83,244.56,281.73,11.91,8.85,52.23,1.13,16.97,682.63,3.31,8.85,12.38
TR822,Çankiri,18,133051.00,7195.00,209.60,240.41,276.91,11.80,8.88,59.21,1.11,5.90,344.33,-2.49,8.73,11.88
TR823,Sinop,57,9444.00,5398.00,209.85,241.24,273.97,9.15,8.59,55.27,2.00,29.76,522.45,-4.42,8.61,9.21
TR831,Samsun,55,788046.00,5880.00,212.96,243.91,279.52,13.58,8.68,51.98,1.77,20.43,203.94,-0.59,8.79,13.63
TR832,Tokat,60,12787.00,4606.00,207.08,239.38,273.11,9.46,8.44,49.91,2.07,22.20,191.79,0.34,8.50,9.78
TR833,Çorum,19,2647202.00,5423.00,207.97,239.95,274.66,14.79,8.60,52.07,3.65,22.07,249.96,-0.68,8.72,13.15
TR834,Amasya,5,38515.00,5949.00,209.71,242.72,277.65,10.56,8.69,46.99,2.27,24.53,202.07,-0.93,8.82,10.79
TR901,Trabzon,61,98371.00,6079.00,211.76,241.04,273.60,11.50,8.71,55.98,1.35,16.37,252.01,-1.27,8.94,11.38
TR902,Ordu,52,22497.00,5049.00,208.08,238.47,272.02,10.02,8.53,48.77,1.40,24.49,272.43,2.58,8.61,10.49
TR903,Giresun,28,23568.00,5291.00,207.94,237.89,271.44,10.07,8.57,53.65,1.54,20.01,352.05,-0.91,8.57,9.97
TR904,Rize,53,34263.00,6749.00,210.91,240.34,275.02,10.44,8.82,64.85,1.43,14.87,310.95,1.43,9.01,9.70
TR905,Artvin,8,17793.00,8810.00,219.08,248.75,286.11,9.79,9.08,40.51,4.92,35.37,402.28,8.14,9.03,10.06
TR906,Gümüshane,29,2958.00,5395.00,215.67,247.81,284.60,7.99,8.59,56.86,1.32,4.78,339.79,-0.02,8.64,8.48
TRA11,Erzurum,25,45022.00,5176.00,207.87,239.64,273.19,10.71,8.55,54.81,11.96,2.98,208.90,0.11,8.65,10.67
TRA12,Erzincan,24,1425.00,8688.00,213.65,246.78,292.24,7.26,9.07,44.76,5.65,27.82,247.00,6.36,9.01,8.46
TRA13,Bayburt,69,72.00,5436.00,206.51,240.70,274.25,4.28,8.60,57.45,1.21,2.05,306.29,3.89,8.68,5.42
TRA21,Agri,4,68367.00,3034.00,210.09,244.69,279.21,11.13,8.02,28.82,62.23,1.30,171.03,-0.49,8.07,11.45
TRA22,Kars,36,1046.00,4796.00,211.57,245.81,280.21,6.95,8.48,37.91,31.90,15.11,178.97,-0.52,8.48,9.24
TRA23,Igdir,76,13048.00,5420.00,205.96,241.37,276.48,9.48,8.60,20.72,44.23,1.74,129.14,8.10,8.63,9.97
TRA24,Ardahan,75,158.00,6589.00,215.79,250.45,286.13,5.06,8.79,37.15,23.38,29.03,281.07,4.87,8.64,0.00
TRB11,Malatya,44,114404.00,5234.00,212.65,242.73,278.61,11.65,8.56,53.87,7.02,15.33,122.08,2.69,8.59,11.54
TRB12,Elazig,23,26250.00,5929.00,215.91,246.84,285.25,10.18,8.69,54.54,10.09,6.02,167.38,3.39,8.69,10.03
TRB13,Bingöl,12,952.00,4724.00,218.66,250.83,288.64,6.86,8.46,55.28,26.80,1.45,220.84,1.18,8.47,6.90
TRB14,Tunceli,62,135.00,8559.00,217.93,251.82,286.50,4.91,9.05,14.71,51.03,28.23,106.58,2.75,9.01,4.53
TRB21,Van,65,18091.00,3140.00,212.72,245.00,278.66,9.80,8.05,31.77,59.32,1.46,126.18,1.50,8.13,11.33
TRB22,Mus,49,111663.00,4074.00,208.74,240.48,274.19,11.62,8.31,32.43,54.44,1.33,150.49,4.25,8.33,7.22
TRB23,Bitlis,13,1333.00,3883.00,213.68,246.22,281.50,7.20,8.26,44.82,42.54,2.76,206.93,2.02,8.23,8.07
TRB24,Hakkari,30,37135.00,5101.00,217.20,250.68,284.17,10.52,8.54,20.07,70.16,1.22,168.95,14.08,8.47,10.55
TRC11,Gaziantep,27,5276938.00,6763.00,223.21,253.29,291.57,15.48,8.82,51.45,11.88,16.25,51.56,5.31,8.88,15.40
TRC12,Adiyaman,2,67091.00,3809.00,214.38,245.25,278.07,11.11,8.25,55.10,15.41,11.25,124.42,3.81,8.47,10.77
TRC13,Kilis,79,50794.00,5045.00,211.20,243.03,278.46,10.84,8.53,50.83,2.30,12.16,156.45,1.21,8.57,11.08
TRC21,Sanliurfa,63,231523.00,2901.00,210.59,243.09,278.05,12.35,7.97,52.67,28.94,2.70,100.11,0.07,8.14,11.91
TRC22,Diyarbakir,21,104696.00,3843.00,211.37,242.03,274.93,11.56,8.25,21.46,65.58,1.56,118.22,0.66,8.37,11.17
TRC31,Mardin,47,327557.00,5040.00,209.14,240.36,277.34,12.70,8.53,30.43,59.34,1.35,140.74,8.32,8.50,11.93
TRC32,Batman,72,42537.00,3721.00,224.73,254.44,283.30,10.66,8.22,24.91,62.09,1.19,115.01,5.48,8.38,11.14
TRC33,Sirnak,73,60877.00,4769.00,211.02,242.19,277.35,11.02,8.47,18.19,70.24,1.07,101.87,9.80,8.47,10.75
TRC34,Siirt,56,13887.00,4386.00,214.55,246.07,277.78,9.54,8.39,38.97,51.07,1.65,194.77,2.35,8.35,10.61
